letra_desc,n_establecimientos,participacion_media,participacion_mediana,desviacion_estandar,diferencia_nacional,sector_corto
SALUD HUMANA Y SERVICIOS SOCIALES,54176,0.8208057081461906,1,0.3022688074329288,0.4683260269199554,SALUD HUMANA Y SERVICIOS SOCIALES
ENSEÑANZA,16480,0.7741918259673533,0.886363636363636,0.2960492439832572,0.42171214474111807,ENSEÑANZA
INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS,31823,0.5703506163421316,0.5625,0.36171431430501627,0.2178709351158964,INTERMEDIACIÓN FINANCIERA Y SERV...
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",2497,0.5538766395180168,0.571428571428571,0.3436451277437682,0.2013969582917816,"ADMINISTRACION PUBLICA, DEFENSA ..."
"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",69611,0.5314561152141197,0.5,0.43979101807793336,0.17897643398788454,"SERVICIOS PROFESIONALES, CIENTÍF..."
"SERVICIOS ARTÍSTICOS, CULTURALES, DEPORTIVOS Y DE ESPARCIMIENTO",18255,0.5286176616356537,0.5,0.42538414245836864,0.17613798040941853,"SERVICIOS ARTÍSTICOS, CULTURALES..."
SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA,65067,0.5019747465145521,0.5,0.36960140610806014,0.1494950652883169,SERVICIOS DE ALOJAMIENTO Y SERVI...
SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES,138284,0.4136484501966915,0.166666666666667,0.4494737635694677,0.06116876897045631,SERVICIOS DE ASOCIACIONES Y SERV...
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,387785,0.4064426077073494,0.3,0.41238228759241824,0.053962926481114226,COMERCIO AL POR MAYOR Y AL POR M...
ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,66223,0.4010221048863689,0.318181818181818,0.4004233806382023,0.04854242366013373,ACTIVIDADES ADMINISTRATIVAS Y SE...
SERVICIOS INMOBILIARIOS,46382,0.39013370944857456,0,0.445026031492067,0.037654028222339375,SERVICIOS INMOBILIARIOS
INFORMACIÓN Y COMUNICACIONES,27502,0.29886829740203114,0.222222222222222,0.3297238883187735,-0.05361138382420405,INFORMACIÓN Y COMUNICACIONES
INDUSTRIA MANUFACTURERA,134388,0.2258215409462253,0.0555555555555556,0.31615929741763943,-0.12665814028000988,INDUSTRIA MANUFACTURERA
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",3561,0.18036861324147124,0.0769230769230769,0.24503750671319038,-0.17211106798476394,"SUMINISTRO DE ELECTRICIDAD, GAS,..."
EXPLOTACION DE MINAS Y CANTERAS,4792,0.14235791515893037,0,0.2414054882502341,-0.21012176606730482,EXPLOTACION DE MINAS Y CANTERAS
SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO,3404,0.13798132778462027,0,0.22679382364592077,-0.21449835344161491,SUMINISTRO DE AGUA; CLOACAS; GES...
SERVICIO DE TRANSPORTE Y ALMACENAMIENTO,92504,0.09089487426379927,0,0.22598862904100758,-0.2615848069624359,SERVICIO DE TRANSPORTE Y ALMACEN...
"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",136544,0.08555634313966948,0,0.2193836529984511,-0.2669233380865657,"AGRICULTURA, GANADERÍA, CAZA, SI..."
CONSTRUCCIÓN,67132,0.08300081682020564,0,0.21541345964853978,-0.26947886440602953,CONSTRUCCIÓN
